LocID,Location,PopTotal,PopDensity
418,Laos,7169.456,31.064
422,Lebanon,6855.709,670.157
426,Lesotho,2125.267,70.002
428,Latvia,1906.74,30.655
430,Liberia,4937.374,51.26
434,Libya,6777.453,3.852
438,Liechtenstein,38.02,237.625
440,Lithuania,2759.631,44.032
442,Luxembourg,615.73,237.734
446,China_Macau,640.446,21419.599
450,Madagascar,26969.306,46.355
454,Malawi,18628.749,197.59
458,Malaysia,31949.789,97.245
462,Maldives,530.957,1769.857
466,Mali,19658.023,16.111
470,Malta,440.377,1376.178
474,Martinique,375.557,354.299
478,Mauritania,4525.698,4.391
480,Mauritius,1269.67,625.453
484,Mexico,127575.529,65.627
492,Monaco,38.967,26152.349
496,Mongolia,3225.166,2.076
498,Moldova,4043.258,123.082
499,Montenegro,627.988,46.691
500,Montserrat,4.991,49.91
504,Morocco,36471.766,81.72
508,Mozambique,30366.043,38.615
512,Oman,4974.992,16.074
516,Namibia,2494.524,3.03
520,Nauru,10.764,538.2
524,Nepal,28608.715,199.572
528,Netherlands,17097.123,507.032
531,Curaçao,163.423,368.07
533,Aruba,106.31,590.611
534,Sint Maarten (Dutch part),42.389,1246.735
535,"Bonaire, Sint Eustatius and Saba",25.983,79.216
540,New Caledonia,282.757,15.468
548,Vanuatu,299.882,24.601
554,New Zealand,4783.062,18.165
558,Nicaragua,6545.503,54.392
562,Niger,23310.719,18.403
566,Nigeria,200963.603,220.652
570,Niue,1.614,6.208
578,Norway,5378.859,14.726
580,Northern Mariana Islands,57.213,124.376
583,Micronesia,113.811,162.587
584,Marshall Islands,58.791,326.617
585,Palau,18.001,39.133
586,Pakistan,216565.317,280.933
591,Panama,4246.44,57.122
598,Papua New Guinea,8776.119,19.379
600,Paraguay,7044.639,17.731
604,Peru,32510.462,25.399
608,Philippines,108116.622,362.601
616,Poland,37887.771,123.723
620,Portugal,10226.178,111.652
624,Guinea-Bissau,1920.917,68.311
626,Timor-Leste,1293.12,86.962
630,US_Puerto Rico,2933.404,330.711
634,Qatar,2832.071,243.934
638,Réunion,888.932,355.573
642,Romania,19364.558,84.132
643,Russia,145872.26,8.907
646,Rwanda,12626.938,511.834
652,Saint Barthélemy,9.853,447.864
654,Saint Helena,6.061,15.541
659,Saint Kitts and Nevis,52.834,203.208
660,Anguilla,14.872,165.244
662,Saint Lucia,182.795,299.664
663,Saint Martin (French part),38.002,717.019
666,Saint Pierre and Miquelon,5.821,25.309
670,Saint Vincent and the Grenadines,110.593,283.572
674,San Marino,33.864,564.4
678,Sao Tome and Principe,215.048,224.008
682,Saudi Arabia,34268.529,15.941
686,Senegal,16296.362,84.643
688,Serbia,8772.228,100.3
690,Seychelles,97.741,212.48
694,Sierra Leone,7813.207,108.246
702,Singapore,5804.343,8291.919
703,Slovakia,5457.012,113.48
704,Vietnam,96462.108,311.098
705,Slovenia,2078.654,103.21
706,Somalia,15442.906,24.616
710,South Africa,58558.267,48.272
716,Zimbabwe,14645.473,37.858
724,Spain,46736.782,93.698
728,South Sudan,11062.114,18.106
729,Sudan,42813.237,24.256
732,Western Sahara,582.458,2.19
740,Suriname,581.363,3.727
748,Eswatini,1148.133,66.752
752,Sweden,10036.391,24.459
756,Switzerland,8591.361,217.415
760,Syria,17070.132,92.959
762,Tajikistan,9321.023,66.598
764,Thailand,69625.581,136.283
768,Togo,8082.359,148.6
772,Tokelau,1.33,133
776,Tonga,104.497,145.135
780,Trinidad and Tobago,1394.969,271.924
784,United Arab Emirates,9770.526,116.872
788,Tunisia,11694.721,75.275
792,Turkey,83429.607,108.402
795,Turkmenistan,5942.094,12.645
796,Turks and Caicos Islands,38.194,40.204
798,Tuvalu,11.655,388.5
800,Uganda,44269.587,221.558
804,Ukraine,43993.643,75.94
807,North Macedonia,2083.458,82.611
818,Egypt,100388.076,100.847
826,United Kingdom,67530.161,279.131
830,Channel Islands,172.264,906.653
833,Isle of Man,84.589,148.402
834,Tanzania,58005.461,65.484
840,US,329064.917,35.974
850,United States Virgin Islands,104.579,298.797
854,Burkina Faso,20321.383,74.274
858,Uruguay,3461.731,19.779
860,Uzbekistan,32981.715,77.531
862,Venezuela,28515.829,32.329
876,Wallis and Futuna Islands,11.436,81.686
882,Samoa,197.093,69.644
887,Yemen,29161.922,55.234
894,Zambia,17861.034,24.026
